attempt	branch	purpose	why_this_was_done	input_or_seed	output_dir_or_file	outcome	next_decision
deacyl_attempt016	deacylation	Strong seeded gap windows eta 0.70-0.90	Test whether stronger restraints fix false peak / low-weight region	Seeded gap geometries	deacylation_seed1_attempt016_gap_eta070_090_seeded_k150_5win_5000	Helped diagnose that 1D eta alone was not adequate	Move toward multi-dimensional path treatment
deacyl_attempt026	deacylation	20-window 310 K A23/A25 production	Build broader deacylation path at formal 310 K	Selected deacylation path windows	deacylation_seed1_attempt026_310K_A23A25_20win_20000	Mostly usable but r150 window had severe vlimit problem	Rerun r150 backup with lower dt
deacyl_attempt027	deacylation	r150 backup low-dt window	Replace bad attempt026 r150 reactant-side window	attempt026 r150 source	deacylation_seed1_attempt027_r150_backup_lowdt_1win_40000	Successful: C 1.452 OW 2.750 eta -1.297 H2_His 1.971 no vlimit	Use as deacylation reactant reference
deacyl_attempt029	deacylation	Refined bridge 8 windows	Repair geometry/overlap around deacylation bridge region	attempt026/027 path	deacylation_seed1_attempt029_refine_bridge_8win_20000	All 8 usable no SCC/vlimit/hard errors	Continue H-transfer bridge
deacyl_attempt031	deacylation	H-transfer bridge 8 windows	Cover proton-transfer branch after nucleophilic attack	attempt029 and path seeds	deacylation_seed1_attempt031_htransfer_bridge_8win_20000	All 8 usable no SCC/vlimit/hard errors	Add h139/hb130 if needed
deacyl_attempt033	deacylation	h139/hb130 one-window patch	Test a specific H-transfer gap window	H-transfer bridge seed	deacylation_seed1_attempt033_h139_hb130_1win_20000	Completed with no errors	Merge into piecewise MBAR
deacyl_attempt037	deacylation	Amber-piecewise 310 K path MBAR	Correct earlier PMF analysis using exact Amber piecewise restraint energy	Attempts026/027/029/031/033	deacylation_seed1_attempt037_amber_piecewise_310K_path_mbar	Found barrier about 19.27 kcal/mol but weak br206->r210 overlap	Add midpoint bridge windows
deacyl_attempt038	deacylation	br206-r210 midpoint bridge two seeds	Repair the barrier-region weak overlap from attempt037	br206 and r210 source restarts	deacylation_seed1_attempt038_br206_r210_mid_2seed_2win_20000	Both windows completed; useful bridge with mild hysteresis	Merge with attempt037 and recompute
deacyl_attempt039	deacylation	Merged037038 preliminary MBAR	Test whether midpoint bridge fixes barrier-region overlap	attempt037 plus attempt038	deacylation_seed1_attempt039_merged037038_midbridge_pymbar	Barrier 19.57 kcal/mol; br206->r210 weak link fixed; no weak links <0.03	Launch full long production for all 38 windows
deacyl_attempt040	deacylation	38-window long production	Stabilize state free energies with uniform long production	attempt039 merged state order and final restarts	deacylation_seed1_attempt040_merged037038_38win_longprod_40000	38/38 complete at 40000 steps; no SCC/vlimit/hard errors	Analyze as final deacylation PMF
deacyl_attempt041	deacylation	Final attempt040 MBAR analysis	Compute long-production state free energies and diagnostics	attempt040 md.nc md.out umbrella.RST	deacylation_seed1_attempt041_from040_longprod_pymbar	Barrier 19.061 +/- 0.073 kcal/mol; stable half-blocks; only weak h119->h104 product-side overlap	Do not patch product-side weak link unless later needed
acyl_committor_cand02	acylation	Validate acylation TS-core candidate	Check that acylation TS candidate is near pB 0.5 rather than purely reactant/product	Acylation cand02 shooting/committor seeds	combined cand02 committor summary	Combined 32 shots: forward 18 reactant 13 other 1 pB_all 0.5625	Use cand02 as acylation PMF center
acyl_attempt040	acylation	7-window 4D path smoke test	Check numerical stability and rough 4D path before expensive production	cand02 4D path seeds	acylation_cand02_attempt040_4d_path_smoke_7win_5000	Smoke test viable	Stage full 13-window path
acyl_attempt041	acylation	13-window 4D path stage	Prepare production seeds along acylation path	cand02 path windows	acylation_cand02_attempt041_4d_path_13win_stage_10000	Generated final restarts for production	Launch 13-window production
acyl_attempt042	acylation	13-window 4D path production	Main short acylation PMF path	Attempt041 restarts	acylation_cand02_attempt042_4d_path_13win_production_20000	13/13 complete but weak overlaps in several eta gaps	Add bridge windows
acyl_attempt043	acylation	7 bridge windows	Fill weak overlap gaps from attempt042	Attempt042 final restarts	acylation_cand02_attempt043_bridge_7win_20000	7/7 complete	Merge with attempt042 and identify remaining gaps
acyl_attempt044	acylation	Merged042043 preliminary MBAR	Assess whether bridge windows fixed the acylation PMF	Attempts042/043	acylation_cand02_attempt044_merged042043_mbar	Still showed refine needs around mid and product-side eta	Launch refine windows
acyl_attempt045	acylation	5 refine windows	Add targeted windows around m197-mid185 and m172-bm054 gaps	Attempts042/043 source restarts	acylation_cand02_attempt045_refine_5win_20000	5/5 complete	Merge all acylation short windows
acyl_attempt046	acylation	Merged042043045 preliminary MBAR/overlap	Diagnose acylation PMF before long production	Attempts042/043/045	acylation_cand02_attempt046_merged042043045_mbar	Overlap still weak in reactant-side and product-side links; eta PMF preliminary only	Start long production comparable to deacylation
acyl_attempt047	acylation	25-window long production	Reduce the largest remaining uncertainty: acylation PMF had only 20000-step windows	Final restarts and umbrella.RST from attempts042/043/045	acylation_cand02_attempt047_merged042043045_25win_longprod_40000	Running as of 2026-07-06 20:28 CST; 25 sander; NSTEP about 400/40000; no errors	When complete run CV/error plus MBAR and compare acylation vs deacylation
